"senator_name","start_date","end_date","description","amount","salary_flag","State","St.Abrv","Party"
"A. MITCHELL MCCONNELL, JR.",2020-03-05,2020-03-27,"STAFF TRANSPORTATION",32.48,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-02,2020-03-25,"STAFF TRANSPORTATION",105.28,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-03,2020-03-30,"STAFF TRANSPORTATION",516.88,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-02,2020-03-30,"STAFF TRANSPORTATION",100.24,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-10,2020-03-31,"STAFF TRANSPORTATION",325.36,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-09,2020-03-26,"STAFF TRANSPORTATION",563.36,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-03,2020-03-30,"STAFF TRANSPORTATION",30.8,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-02,2020-03-31,"STAFF TRANSPORTATION",64.96,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-02,2020-03-27,"STAFF TRANSPORTATION",108.08,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-03,2020-03-31,"STAFF TRANSPORTATION",1621.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-06,2020-04-05,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL AS FOLLOWS: 3/6, 20, 4/5 WASHINGTON DC TO LOUISVILLE; 3/8, 22 + LOUISVILLE TO WASHINGTON DC",1579.5,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-29,2020-04-09,"STAFF TRANSPORTATION",1204.6,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-08,2020-04-08,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL LOUISVILLE TO PIKEVILLE AND RETURN",2008.49,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-07,2020-04-09,"PER DIEM",361.97,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-07,2020-04-09,"STAFF TRANSPORTATION",295.06,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-29,2020-04-03,"PER DIEM",822.5,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-29,2020-04-03,"STAFF TRANSPORTATION",80.38,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-29,2020-04-03,"PER DIEM",774.67,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-29,2020-04-03,"STAFF TRANSPORTATION",155.12,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-07,2020-04-29,"STAFF TRANSPORTATION",25.76,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-02,2020-04-27,"STAFF TRANSPORTATION",96.88,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-29,"STAFF TRANSPORTATION",837.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-30,2020-04-30,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL WASHINGTON DC TO CINCINNATI OH",372.1,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-03,2020-05-03,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL CINCINNATI TO WASHINGTON DC",372.1,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-17,2020-04-24,"SENATOR'S TRANSPORTATION + AIRFARE FOR SEN MCCONNELL AS FOLLOWS: 4/17 WASHINGTON DC TO LOUISVILLE; 4/24 + WASHINGTON DC TO CINCINNATI",597.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-30,"STAFF TRANSPORTATION",742.56,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-02,2020-04-27,"STAFF TRANSPORTATION",93.52,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-23,"STAFF TRANSPORTATION",43.12,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-06,2020-04-30,"STAFF TRANSPORTATION",926.8,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-13,2020-04-30,"STAFF TRANSPORTATION",96.72,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-30,"STAFF TRANSPORTATION",241.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-15,2020-04-16,"STAFF TRANSPORTATION",31.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-30,"STAFF TRANSPORTATION",2414.72,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-29,"STAFF TRANSPORTATION",224,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-17,2020-04-30,"STAFF TRANSPORTATION",587.44,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-01,2020-04-30,"STAFF TRANSPORTATION",120.96,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-29,2020-04-03,"STAFF TRANSPORTATION",358.96,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-03-30,2020-04-01,"PER DIEM",203.81,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-07,2020-05-27,"STAFF TRANSPORTATION",25.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-01,2020-05-20,"STAFF TRANSPORTATION",78.96,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-01,2020-05-28,"STAFF TRANSPORTATION",1710.24,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-05,2020-05-05,"STAFF TRANSPORTATION",128.24,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-01,2020-05-29,"STAFF TRANSPORTATION",72.24,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-02,2020-05-02,"STAFF TRANSPORTATION",50.4,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-19,2020-05-22,"STAFF TRANSPORTATION",15.12,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-05,2020-05-28,"STAFF TRANSPORTATION",723.52,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-11,2020-05-11,"STAFF TRANSPORTATION",6.16,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-08,2020-05-28,"STAFF TRANSPORTATION",53.2,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-01,2020-05-26,"STAFF TRANSPORTATION",647.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-07,2020-05-12,"STAFF TRANSPORTATION",204.96,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-05,2020-05-27,"STAFF TRANSPORTATION",38.64,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-04,2020-05-29,"STAFF TRANSPORTATION",530.88,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-07,2020-05-28,"STAFF TRANSPORTATION",67.76,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-06,2020-05-26,"STAFF TRANSPORTATION",315.28,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-21,2020-04-21,"STAFF TRANSPORTATION",16.8,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-04-15,2020-04-27,"STAFF TRANSPORTATION",241.92,1,"Kentucky","KY","R"
"A. MITCHELL MCCONNELL, JR.",2020-05-21,2020-05-21,"STAFF TRANSPORTATION",168,1,"Kentucky","KY","R"
